WordLabel,SyllLabel,PrimaryStress,SecondaryStress,SyllCV
mathematics,1_4,3,1,CV
mathematics,2_4,3,1,CV
mathematics,3_4,3,1,CV
mathematics,4_4,3,1,CVCC
korean,1_3,2,1,CV
korean,2_3,2,1,CV
korean,3_3,2,1,VC
FP,3_3,NA,NA,NA
as?,1_1,NA,NA,NA
him,1_1,1,0,CVC
behavior,1_3,2,0,CV
behavior,2_3,2,0,CV
behavior,3_3,2,0,CVC
situation,1_4,3,1,CV
situation,2_4,3,1,CV
situation,3_4,3,1,VV
situation,4_4,3,1,CVC
**,4_4,NA,NA,NA
he,1_1,1,0,CV
always,1_2,1,2,CV
always,2_2,1,2,CVVC
talk,1_1,1,0,CVC
me:,1_1,1,0,CV
way:,1_1,1,0,CVVC
of:,1_1,1,0,VC
something,1_2,1,0,CVC
something,2_2,1,0,CVC
or,1_1,1,0,VC
someone,1_2,1,2,CVC
someone,2_2,1,2,CVC
went,1_1,1,0,CVCC
to:,1_1,1,0,CV
shopping,1_2,1,0,CV
shopping,2_2,1,0,CVC
sometimes,1_2,2,0,CVC
sometimes,2_2,2,0,CVVCC
it's,1_1,1,0,VC
when:,1_1,1,0,CVC
mother,1_2,1,0,CV
mother,2_2,1,0,CVC
supermarket,1_4,1,3,CV
supermarket,2_4,1,3,CVC
supermarket,3_4,1,3,CVC
supermarket,4_4,1,3,CVC
force,1_1,1,0,CVCC
buy,1_1,1,0,CVV
buying,1_2,1,0,CVV
buying,2_2,1,0,VC
food,1_1,1,0,CVC
brother,1_2,1,0,CCV
brother,2_2,1,0,CVC
helped:,1_1,1,0,CVCCC
helped,1_1,1,0,CVCCC
studying:,1_1,1,0,CCVC
or:,1_1,1,0,VC
cleaning,1_2,1,0,CCV
cleaning,2_2,1,0,CVC
room:,1_1,1,0,CVC
our,1_2,1,0,V
our,2_2,1,0,VC
choose,1_1,1,0,CVC
custom,1_2,1,0,CVC
custom,2_2,1,0,CVC
your,1_1,1,0,CVC
country,1_2,1,0,CVC
country,2_2,1,0,CCV
describe,1_2,2,0,CVC
describe,2_2,2,0,CVVC
done,1_1,1,0,CVC
this,1_1,1,0,CVC
why,1_1,1,0,CVV
any,1_2,1,0,V
any,2_2,1,0,CV
special,1_2,1,0,CCV
special,2_2,1,0,CVC
baby's,1_2,1,0,CVV
baby's,2_2,1,0,CVC
case,1_1,1,0,CVVC
baby,1_2,1,0,CVV
baby,2_2,1,0,CV
born,1_1,1,0,CVCC
after,1_2,1,0,CV
after,2_2,1,0,CVC
get,1_1,1,0,CVC
year,1_1,1,0,VC
big,1_1,1,0,CVC
party,1_2,1,0,CVC
party,2_2,1,0,CV
just,1_1,1,0,CVCC
pa?,1_1,NA,NA,NA
par?,1_1,NA,NA,NA
invite,1_2,2,1,VC
invite,2_2,2,1,CVVC
relatives,1_3,1,0,CVC
relatives,2_3,1,0,CV
relatives,3_3,1,0,CVCC
parents,1_2,1,0,CV
parents,2_2,1,0,CVC
will,1_1,1,0,CVC
give,1_1,1,0,CVC
uh?,2_2,NA,NA,NA
gold,1_1,1,0,CVCC
rings,1_1,1,0,CVCC
usual,1_2,1,0,CV
usual,2_2,1,0,CVC
gave,1_1,1,0,CVVC
three,1_1,1,0,CCV
pencil,1_2,1,0,CVC
pencil,2_2,1,0,CVC
money,1_2,1,0,CV
money,2_2,1,0,CV
thrills,1_1,1,0,CCVC
didn't,1_2,1,0,CV
didn't,2_2,1,0,CVC
thinking,1_2,1,0,CVC
thinking,2_2,1,0,CVC
their:,1_1,1,0,CVC
feeling,1_2,1,0,CVC
feeling,2_2,1,0,CVC
will:,1_1,1,0,CVC
be,1_1,1,0,CV
very,1_2,1,0,CV
very,2_2,1,0,CV
smart,1_1,1,0,CCVCC
study,1_2,1,0,CCV
study,2_2,1,0,CV
hard,1_1,1,0,CVCC
the?,1_1,NA,NA,NA
rich,1_1,1,0,CVC
thrill,1_1,1,0,CCVC
she?,1_1,NA,NA,NA
live,1_1,1,0,CVC
chose,1_1,1,0,CVC
ver?,1_1,NA,NA,NA
years,1_1,1,0,CVCC
old,1_1,1,0,VCC
I?,1_1,NA,NA,NA
us,1_1,1,0,VC
interesting,1_4,1,0,VC
interesting,2_4,1,3,CV
interesting,3_4,1,3,CVC
interesting,4_4,1,3,CVC
*,4_4,NA,NA,NA
funny,1_2,1,0,CV
funny,2_2,1,0,CV
that's,1_1,1,0,CVC
your,1_2,1,0,V
your,2_2,1,0,VC
customs,1_2,1,0,CVC
customs,2_2,1,0,CVCC
